A1BG	chr19:58858174-58864865
CD109.2	chr6:74405514-74538040
CD109.3	chr6:74405508-74538040
CD109	chr6:74405508-74538040
CD14.2	chr5:140011317-140013010
CD14	chr5:140011317-140013255
CD151.2	chr11:832952-838834
CD151.3	chr11:832952-838834
CD151.4	chr11:832952-838834
CD151	chr11:832952-838834
CD160	chr1:145695798-145715565
CD163.2	chr12:7623412-7656414
CD163	chr12:7623412-7656414
CD163L1	chr12:7507559-7596749
CD164.2	chr6:109687718-109703762
CD164.3	chr6:109687718-109703762
CD164.4	chr6:109687718-109703762
CD164.5	chr6:109687718-109703762
CD164	chr6:109687718-109703762
CD164L2	chr1:27705597-27709805
CD177	chr19:43857825-43867479
CD180	chr5:66478104-66492617
CD19	chr16:28943260-28950661
CD1A	chr1:158223927-158228056
CD1B	chr1:158297742-158301321
CD1C	chr1:158259563-158264563
CD1D	chr1:158149737-158156214
CD1E.2	chr1:158323540-158327341
CD1E.3	chr1:158323540-158327341
CD1E.4	chr1:158323540-158327341
CD1E.5	chr1:158323540-158327341
CD1E.6	chr1:158323540-158327341
CD1E	chr1:158323540-158327341
CD200.2	chr3:112051916-112081656
CD200	chr3:112051916-112081656
CD200R1.2	chr3:112647765-112693937
CD200R1.3	chr3:112641532-112693937
CD200R1.4	chr3:112647765-112693937
CD200R1	chr3:112641532-112693937
CD200R1L	chr3:112534556-112564797
CD207	chr2:71057348-71062953
CD209.2	chr19:7804881-7812464
CD209.3	chr19:7804881-7812464
CD209.4	chr19:7804881-7812464
CD209.5	chr19:7804881-7812464
CD209.6	chr19:7804881-7812464
CD209.7	chr19:7804881-7812464
CD209.8	chr19:7804881-7812464
CD209	chr19:7804881-7812464
CD226	chr18:67530195-67624232
CD22	chr19:35820079-35838262
CD244.2	chr1:160799951-160832692
CD244.3	chr1:160799951-160832692
CD244	chr1:160799951-160832692
CD247.2	chr1:167399878-167487847
CD247	chr1:167399878-167487847
CD248	chr11:66081958-66084515
CD24	chrY:21152526-21154705
CD274	chr9:5450559-5468475
CD276.2	chr15:73976622-74006859
CD276	chr15:73976622-74006859
CD27	chr12:6554051-6560883
CD28	chr2:204571198-204602556
CD2AP	chr6:47445525-47594994
CD2BP2.2	chr16:30362088-30366682
CD2BP2	chr16:30362088-30366255
CD2	chr1:117297086-117311850
CD300A	chr17:72462522-72480931
CD300C	chr17:72537247-72542282
CD300E	chr17:72608712-72619801
CD300LB	chr17:72517313-72527613
CD300LD	chr17:72576111-72588370
CD300LF	chr17:72690453-72709108
CD300LG.2	chr17:41924516-41935601
CD300LG.3	chr17:41924516-41940996
CD300LG.4	chr17:41924516-41935127
CD300LG	chr17:41924516-41935601
CD302	chr2:160625141-160654766
CD320.2	chr19:8367011-8373240
CD320	chr19:8367011-8373240
CD33.2	chr19:51728335-51743274
CD33	chr19:51728335-51743274
CD34.2	chr1:208059883-208084683
CD34	chr1:208059883-208084683
CD36.2	chr7:80267832-80303732
CD36.3	chr7:80275645-80303732
CD36.4	chr7:80267832-80308592
CD36.5	chr7:80231504-80303732
CD36	chr7:80275762-80303732
CD37.2	chr19:49838677-49843859
CD37	chr19:49838677-49843859
CD38	chr4:15779931-15850706
CD3D.2	chr11:118209789-118213459
CD3D	chr11:118209789-118213459
CD3EAP	chr19:45909467-45914024
CD3E	chr11:118175295-118186889
CD3G	chr11:118215059-118224497
CD40.2	chr20:44746906-44758384
CD40	chr20:44746906-44758384
CD40LG	chrX:135730336-135742548
CD44.2	chr11:35160417-35253946
CD44.3	chr11:35160417-35253946
CD44.4	chr11:35160417-35253946
CD44.5	chr11:35160417-35253946
CD44	chr11:35160417-35253946
CD46.10	chr1:207925402-207968857
CD46.11	chr1:207925402-207968857
CD46.12	chr1:207925402-207968857
CD46.13	chr1:207925402-207968857
CD46.14	chr1:207925402-207968857
CD46.2	chr1:207925402-207968857
CD46.3	chr1:207925402-207968857
CD46.4	chr1:207925402-207968857
CD46.5	chr1:207925402-207968857
CD46.6	chr1:207925402-207968857
CD46.7	chr1:207925402-207968857
CD46.8	chr1:207925402-207968857
CD46.9	chr1:207925402-207968857
CD46	chr1:207925402-207968857
CD47.2	chr3:107761941-107809935
CD47.3	chr3:107761941-107809935
CD47	chr3:107761941-107809935
CD48	chr1:160648538-160681585
CD4	chr12:6898651-6929976
CD52	chr1:26644411-26647013
CD53.2	chr1:111415722-111442557
CD53	chr1:111413821-111442557
CD55.2	chr1:207494817-207534309
CD55	chr1:207494817-207534309
CD58.2	chr1:117057157-117113715
CD58.3	chr1:117057157-117113715
CD58	chr1:117061323-117113715
CD59.2	chr11:33724558-33744273
CD59.3	chr11:33724558-33744273
CD59.4	chr11:33724558-33744273
CD59.5	chr11:33724558-33758025
CD59.6	chr11:33724558-33758025
CD59.7	chr11:33724558-33758025
CD59.8	chr11:33724558-33744498
CD59	chr11:33724558-33758025
CD5	chr11:60869930-60895321
CD5L	chr1:157800706-157811634
CD63.2	chr12:56119231-56122910
CD63	chr12:56119231-56122910
CD68.2	chr17:7482805-7485428
CD68	chr17:7482806-7485428
CD69.2	chr12:9907164-9913497
CD69.3	chr12:9906736-9913497
CD69	chr12:9905084-9913497
CD6	chr11:60739115-60787846
CD70	chr19:6585851-6591163
CD72	chr9:35609976-35618424
CD74.2	chr5:149781203-149792323
CD74.3	chr5:149781201-149792332
CD74	chr5:149781203-149792323
CD79A.2	chr19:42381190-42385438
CD79A	chr19:42381190-42385438
CD79B.2	chr17:62006098-62009704
CD79B.3	chr17:62006098-62009704
CD79B	chr17:62006098-62009704
CD7	chr17:80272746-80275480
CD80	chr3:119243142-119278481
CD81	chr11:2398547-2418649
CD82.2	chr11:44587141-44641313
CD82	chr11:44587141-44641313
CD83.2	chr6:14117865-14137146
CD83	chr6:14117865-14137146
CD84	chr1:160515793-160549251
CD86.2	chr3:121796750-121839982
CD86	chr3:121774221-121839982
CD8A.2	chr2:87011729-87018837
CD8A.3	chr2:87011729-87018837
CD8A.4	chr2:87011729-87035519
CD8A	chr2:87011729-87018837
CD8B.2	chr2:87042462-87089038
CD8B.3	chr2:87042462-87089038
CD8B.4	chr2:87068690-87089038
CD8B.5	chr2:87068690-87089038
CD8B	chr2:87042462-87089038
CD93	chr20:23059994-23066977
CD96.2	chr3:111260926-111371205
CD96	chr3:111260926-111371205
CD97.2	chr19:14492213-14519533
CD97.3	chr19:14492213-14519533
CD97	chr19:14492213-14519533
CD99.2	chrX:2609228-2659348
CD99.3	chrY:2559228-2609348
CD99.4	chrY:2559228-2609348
CD99	chrX:2609228-2659348
CD99L2.2	chrX:149934810-150067179
CD99L2.3	chrX:149934810-150067179
CD99L2	chrX:149934810-150067179
CD9	chr12:6309555-6347427
CDA	chr1:20915444-20945398
CDADC1	chr13:49822103-49867619
CDAN1	chr15:43015762-43029417
CDC10L	chr10:38672000-38691780
CDC123	chr10:12237961-12292587
CDC14A.2	chr1:100818023-100985832
CDC14A.3	chr1:100818023-100950925
CDC14A	chr1:100818023-100965021
CDC14B.2	chr9:99262397-99382112
CDC14B.3	chr9:99262397-99329203
CDC14B	chr9:99262397-99382112
CDC14C	chr7:48964157-48967049
CDC16.2	chr13:115000362-115038150
CDC16	chr13:115000362-115038150
CDC20B.2	chr5:54408823-54469003
CDC20B	chr5:54408823-54469003
CDC20	chr1:43824626-43828871
CDC2.2	chr10:62539899-62554604
CDC2.3	chr10:62538291-62554604
CDC23	chr5:137523341-137549032
CDC25A.2	chr3:48198668-48229801
CDC25A	chr3:48198668-48229801
CDC25B.2	chr20:3776401-3786759
CDC25B.3	chr20:3776401-3786759
CDC25B	chr20:3776401-3786759
CDC25C.2	chr5:137620959-137667516
CDC25C	chr5:137620959-137667516
CDC26	chr9:116029290-116037869
CDC27.2	chr17:45195313-45266665
CDC27	chr17:45195313-45266665
CDC2	chr10:62538220-62554604
CDC2L1.2	chr1:1571100-1655775
CDC2L1.3	chr1:1571100-1655775
CDC2L1.4	chr1:1571100-1655775
CDC2L1.5	chr1:1571100-1655775
CDC2L1.6	chr1:1571100-1655775
CDC2L1	chr1:1571100-1655775
CDC2L2.2	chr1:1634172-1655791
CDC2L2	chr1:1634172-1655791
CDC2L5.2	chr7:39989959-40135145
CDC2L5	chr7:39989959-40135145
CDC2L6	chr6:110931181-111136412
CDC34	chr19:531733-542086
CDC37	chr19:10501809-10514271
CDC37L1	chr9:4679566-4706593
CDC40	chr6:110501624-110553420
CDC42.2	chr1:22379120-22417295
CDC42.3	chr1:22379120-22419435
CDC42BPA.2	chr1:227177567-227505826
CDC42BPA	chr1:227177567-227505826
CDC42BPB	chr14:103398716-103523742
CDC42BPG	chr11:64591664-64612041
CDC42	chr1:22379120-22419435
CDC42EP1	chr22:37956471-37965408
CDC42EP2	chr11:65082331-65089899
CDC42EP3	chr2:37870743-37899326
CDC42EP4	chr17:71279764-71308143
CDC42EP5	chr19:54976210-54984422
CDC42SE1.2	chr1:151023449-151032125
CDC42SE1	chr1:151023449-151032125
CDC42SE2.2	chr5:130599702-130730380
CDC42SE2	chr5:130599702-130730380
CDC45L	chr22:19467416-19508134
CDC5L	chr6:44355302-44414779
CDC6	chr17:38444146-38459413
CDC7.2	chr1:91966404-91991320
CDC73	chr1:193091088-193223940
CDC7.3	chr1:91966404-91991320
CDC7	chr1:91966665-91991320
CDCA2	chr8:25316513-25365425
CDCA3	chr12:6957972-6960456
CDCA4.2	chr14:105475910-105487425
CDCA4	chr14:105475910-105487425
CDCA5	chr11:64844927-64851615
CDCA7.2	chr2:174219561-174233718
CDCA7	chr2:174219561-174233718
CDCA7L.2	chr7:21940518-21985542
CDCA7L.3	chr7:21940518-21985542
CDCA7L	chr7:21940518-21985542
CDCA8	chr1:38158159-38175389
CDCP1.2	chr3:45123770-45187914
CDCP1	chr3:45151733-45187914
CDCP2	chr1:54604668-54619443
CDGAP	chr3:119013220-119138322
CDH10	chr5:24487210-24644911
CDH11	chr16:64980685-65155919
CDH12	chr5:21750973-22853731
CDH13	chr16:82660578-83830197
CDH15	chr16:89238163-89261899
CDH16	chr16:66942026-66952766
CDH17.2	chr8:95139394-95229531
CDH17	chr8:95139394-95220815
CDH18.2	chr5:19473157-19988353
CDH18	chr5:19473157-19988353
CDH19	chr18:64171321-64271216
CDH1	chr16:68771195-68869444
CDH20	chr18:59157775-59222365
CDH22	chr20:44802376-44880334
CDH23.2	chr10:73156704-73575702
CDH23	chr10:73156704-73406605
CDH24.2	chr14:23516271-23526747
CDH24	chr14:23516271-23526747
CDH26.2	chr20:58571417-58588167
CDH26	chr20:58533471-58588167
CDH29	chr3:49828175-49837254
CDH2	chr18:25530930-25757445
CDH3	chr16:68678151-68732957
CDH4	chr20:59827559-60512299
CDH5	chr16:66400525-66438688
CDH6	chr5:31193796-31325237
CDH7.2	chr18:63417488-63548174
CDH7	chr18:63418157-63548174
CDH8	chr16:61687235-62070036
CDH9	chr5:26880709-27038689
CDIPT	chr16:29869679-29874578
CDK10.2	chr16:89753076-89762771
CDK10.3	chr16:89753076-89762771
CDK10.4	chr16:89753076-89762771
CDK10.5	chr16:89753076-89762771
CDK10.6	chr16:89753076-89762771
CDK10	chr16:89753076-89762771
CDK2.2	chr12:56360556-56366567
CDK2AP1	chr12:123745542-123756687
CDK2AP2	chr11:67273969-67276102
CDK2	chr12:56360556-56366567
CDK3	chr17:73996987-74002081
CDK4	chr12:58142005-58146164
CDK5.2	chr7:150750903-150755052
CDK5	chr7:150750899-150755052
CDK5R1	chr17:30814105-30818270
CDK5R2	chr2:219824398-219826876
CDK5RAP1.2	chr20:31946647-31989337
CDK5RAP1	chr20:31946647-31989337
CDK5RAP2.2	chr9:123151148-123342437
CDK5RAP2	chr9:123151148-123342437
CDK5RAP3	chr17:46048429-46059146
CDK6.2	chr7:92234237-92463231
CDK6	chr7:92234237-92465941
CDK7	chr5:68530622-68573256
CDK8	chr13:26828756-26978569
CDK9	chr9:130548305-130553052
CDKAL1	chr6:20534688-21231764
CDKL1	chr14:50796721-50862617
CDKL2	chr4:76501705-76555721
CDKL3.2	chr5:133643693-133702765
CDKL3	chr5:133634116-133702765
CDKL4	chr2:39405690-39456673
CDKL5.2	chrX:18460344-18671747
CDKL5	chrX:18443725-18671747
CDKN1A.2	chr6:36646459-36655108
CDKN1A	chr6:36646487-36655108
CDKN1B	chr12:12870302-12875305
CDKN1C.2	chr11:2904450-2906995
CDKN1C.3	chr11:2904450-2906995
CDKN1C	chr11:2904450-2906995
CDKN2A.2	chr9:21967752-21975038
CDKN2A.3	chr9:21967752-21994490
CDKN2A	chr9:21967752-21975038
CDKN2AIP	chr4:184365789-184369049
CDKN2AIPNL	chr5:133737758-133747598
CDKN2B.2	chr9:22002906-22009312
CDKN2BAS	chr9:21994790-22121091
CDKN2B	chr9:22002906-22009312
CDKN2C.2	chr1:51434367-51440305
CDKN2C	chr1:51435642-51440307
CDKN2D.2	chr19:10677139-10679655
CDKN2D	chr19:10677139-10679631
CDKN3.2	chr14:54863673-54886932
CDKN3	chr14:54863673-54886932
CDNF	chr10:14861251-14879983
CDO1	chr5:115140432-115152405
CDON	chr11:125826715-125933187
CDR1	chrX:139865425-139866723
CDR2	chr16:22357259-22385938
CDR2L	chr17:72983727-73001889
CDRT15	chr17:14139175-14140150
CDRT15P	chr17:13927815-13928915
CDRT1	chr17:15491978-15523018
CDRT4	chr17:15339338-15370925
CDS1	chr4:85504057-85572492
CDS2	chr20:5107482-5171987
CDSN.5	chr6:31082870-31088223
CDT1	chr16:88870186-88875665
CDV3.2	chr3:133292434-133309116
CDV3.3	chr3:133292434-133309116
CDV3	chr3:133293301-133309116
CDX1	chr5:149546344-149564120
CDX2	chr13:28536279-28543317
CDX4	chrX:72667090-72674420
CDY1.2	chrY:27768264-27771046
CDY1.3	chrY:26191942-26194161
CDY1.4	chrY:27768264-27770483
CDY1B.2	chrY:26191942-26194161
CDY1B.3	chrY:27768264-27770483
CDY1B.4	chrY:27768264-27771046
CDY1B	chrY:26191379-26194161
CDY1	chrY:26191379-26194161
CDY2A.2	chrY:20137667-20139625
CDY2A	chrY:19990142-19992100
CDY2B.2	chrY:20137668-20139627
CDY2B	chrY:19990140-19992099
CDYL2	chr16:80637678-80838175
CDYL.2	chr6:4836332-4955777
CDYL.3	chr6:4706393-4955777
CDYL.4	chr6:4890226-4955777
CDYL	chr6:4776680-4955777
CEACAM1.2	chr19:43011459-43032639
CEACAM16	chr19:45202358-45213984
CEACAM18	chr19:51979838-51986611
CEACAM19.2	chr19:45174724-45187625
CEACAM19	chr19:45174724-45187625
CEACAM1	chr19:43011459-43032639
CEACAM20.2	chr19:45010211-45033548
CEACAM20.3	chr19:45010211-45033548
CEACAM20.4	chr19:45010211-45033548
CEACAM20	chr19:45010211-45033548
CEACAM21.2	chr19:42082531-42093196
CEACAM21	chr19:42082531-42093196
CEACAM3	chr19:42300534-42315591
CEACAM4	chr19:42125344-42133442
CEACAM5	chr19:42212530-42234436
CEACAM6	chr19:42259398-42276113
CEACAM7	chr19:42177235-42192096
CEACAM8	chr19:43084395-43099082
CEBPA	chr19:33790842-33793430
CEBPB	chr20:48807376-48809212
CEBPD	chr8:48649476-48650726
CEBPE	chr14:23586515-23588474
CEBPG	chr19:33864609-33873591
CEBPZ	chr2:37428778-37458740
CECR1.2	chr22:17660192-17680545
CECR1	chr22:17660194-17690779
CECR2	chr22:17956628-18033845
CECR4.2	chr22:17640279-17646334
CECR4	chr22:17640279-17646334
CECR5.2	chr22:17618411-17646177
CECR5	chr22:17618411-17640169
CECR6.2	chr22:17597189-17602257
CECR6	chr22:17597189-17602213
CECR7	chr22:17517460-17539682
CELA1	chr12:51722227-51740463
CELA2A	chr1:15783223-15798585
CELA2B	chr1:15802596-15817894
CELA3A	chr1:22328149-22339033
CELA3B	chr1:22303418-22315845
CEL	chr9:135937365-135947248
CELP	chr9:135957926-135962476
CELSR1	chr22:46756731-46933067
CELSR2	chr1:109792641-109818377
CELSR3	chr3:48673902-48700348
CEMP1	chr16:2580036-2581419
CEND1	chr11:787110-790126
CENPA.2	chr2:27008883-27017453
CENPA	chr2:27008882-27017453
CENPB	chr20:3764500-3767337
CENPBD1	chr16:90036202-90038942
CENPC1	chr4:68337989-68411256
CENPE	chr4:104026963-104119566
CENPF	chr1:214776532-214837912
CENPH	chr5:68485375-68506183
CENPI	chrX:100354798-100417976
CENPJ	chr13:25456414-25497085
CENPK	chr5:64813594-64858995
CENPL.2	chr1:173768996-173794026
CENPL	chr1:173768690-173794026
CENPM.2	chr22:42334749-42343148
CENPM.3	chr22:42334749-42343148
CENPM	chr22:42334749-42336223
CENPN.2	chr16:81040103-81066707
CENPN.3	chr16:81040103-81056486
CENPN	chr16:81040103-81065090
CENPO	chr2:25016333-25042784
CENPP	chr9:95087741-95377435
CENPQ	chr6:49431096-49460820
CENPT	chr16:67862064-67881361
CENPV	chr17:16245849-16256812
CEP110	chr9:123850574-123939886
CEP120.2	chr5:122680580-122759286
CEP120	chr5:122680580-122759286
CEP135	chr4:56815037-56899526
CEP152	chr15:49030349-49103184
CEP164	chr11:117198571-117283980
CEP170.2	chr1:243287731-243418708
CEP170.3	chr1:243287731-243418708
CEP170	chr1:243287731-243418708
CEP170L	chr4:119437495-119475357
CEP192	chr18:12991361-13125049
CEP250	chr20:34043150-34099802
CEP290	chr12:88442791-88535993
CEP350	chr1:179923908-180084014
CEP55.2	chr10:95256369-95288847
CEP55	chr10:95256389-95288847
CEP57	chr11:95523642-95565854
CEP63.2	chr3:134205047-134283870
CEP63.3	chr3:134204575-134293852
CEP63.4	chr3:134204575-134283870
CEP63	chr3:134204897-134283870
CEP68	chr2:65283495-65314141
CEP70	chr3:138213189-138313129
CEP72	chr5:612405-653664
CEP76	chr18:12672632-12702703
CEP78.2	chr9:80850991-80881982
CEP78	chr9:80850991-80881982
CEP97	chr3:101443494-101486181
CEPT1.2	chr1:111682833-111727724
CEPT1	chr1:111682249-111727724
CER1	chr9:14719734-14722715
CERCAM	chr9:131182759-131199627
CERK	chr22:47080308-47134152
CERKL.2	chr2:182401402-182521834
CERKL.3	chr2:182401402-182521834
CERKL.4	chr2:182401402-182521834
CERKL.5	chr2:182401402-182521834
CERKL.6	chr2:182401402-182521834
CERKL.7	chr2:182401402-182521834
CERKL	chr2:182401402-182521834
CES1.2	chr16:55836766-55867075
CES1.3	chr16:55836766-55867075
CES1	chr16:55836766-55867075
CES2.2	chr16:66968347-66978992
CES2	chr16:66968347-66978992
CES3	chr16:66995138-67009051
CES4	chr16:55794511-55808824
CES7.2	chr16:55880066-55909282
CES7	chr16:55880066-55909282
CES8	chr16:67022633-67043657
CETN1	chr18:580369-581524
CETN2	chrX:151995873-151999301
CETN3	chr5:89689531-89705603
CETP	chr16:56995835-57017756
CFB	chr6:31913721-31919860
CFC1.2	chr2:131278836-131285583
CFC1B.2	chr2:131350353-131357251
CFC1B	chr2:131278667-131285565
CFC1	chr2:131350335-131357082
CFD	chr19:859665-863608
CFDP1	chr16:75327609-75467387
CFH.2	chr1:196621008-196670693
CFH	chr1:196621008-196716631
CFHR1	chr1:196788861-196801316
CFHR2	chr1:196912934-196928356
CFHR3.2	chr1:196743930-196763203
CFHR3	chr1:196743930-196763203
CFHR4	chr1:196857212-196887762
CFHR5	chr1:196946667-196978801
CFI	chr4:110661850-110723335
CFL1	chr11:65622287-65625804
CFL2.2	chr14:35179588-35184029
CFL2.3	chr14:35179588-35183761
CFL2.4	chr14:35179588-35184029
CFL2.5	chr14:35179588-35184029
CFL2	chr14:35179588-35183023
CFLAR.2	chr2:201980816-202006323
CFLAR.3	chr2:201983387-202028833
CFLAR	chr2:201980890-202029001
CFLP1	chr10:89578070-89605365
CFP.2	chrX:47483613-47489369
CFP	chrX:47483613-47489704
CFTR	chr7:117120017-117308716
CG030	chr13:33078645-33083532
CGA	chr6:87795222-87804824
CGB1	chr19:49538827-49540191
CGB2	chr19:49535130-49536494
CGB5	chr19:49547102-49548567
CGB7	chr19:49557532-49558997
CGB8	chr19:49550896-49552368
CGB	chr19:49526127-49527593
CGGBP1.2	chr3:88101106-88108146
CGGBP1	chr3:88101106-88108146
CGN	chr1:151483862-151511165
CGNL1	chr15:57668705-57842920
CGREF1.2	chr2:27322222-27333970
CGREF1.3	chr2:27322222-27341995
CGREF1.4	chr2:27323463-27341773
CGREF1	chr2:27323463-27341995
CGRRF1	chr14:54976587-55005332
CH25H	chr10:90965696-90967071
CHAC1.2	chr15:41245636-41248717
CHAC1	chr15:41245636-41248717
CHAC2	chr2:53994929-54002287
CHAD	chr17:48541854-48546227
CHADL	chr22:41625515-41636935
CHAF1A	chr19:4402660-4443393
CHAF1B	chr21:37757689-37789124
CHAT.2	chr10:50822083-50873150
CHAT.3	chr10:50822083-50873150
CHAT.4	chr10:50822083-50873150
CHAT.5	chr10:50822083-50873150
CHAT.6	chr10:50821154-50873150
CHAT.7	chr10:50817141-50873150
CHAT	chr10:50821154-50873150
CHCHD10	chr22:24108022-24110141
CHCHD1	chr10:75541808-75543405
CHCHD2	chr7:56169268-56174187
CHCHD3	chr7:132469624-132766828
CHCHD4.2	chr3:14153578-14166371
CHCHD4	chr3:14153578-14166371
CHCHD5	chr2:113342036-113346617
CHCHD6	chr3:126423118-126679244
CHCHD7.2	chr8:57124315-57131174
CHCHD7.3	chr8:57124315-57131174
CHCHD7.4	chr8:57124315-57131174
CHCHD7.5	chr8:57124315-57131174
CHCHD7.6	chr8:57124315-57131174
CHCHD7	chr8:57124315-57131174
CHCHD8	chr11:73583714-73587890
CHD1	chr5:98190909-98262238
CHD1L	chr1:146714291-146767441
CHD2.2	chr15:93443551-93571236
CHD2	chr15:93443551-93492461
CHD3.2	chr17:7788123-7816075
CHD3.3	chr17:7792169-7816075
CHD3	chr17:7792169-7816075
CHD4	chr12:6679249-6716551
CHD5	chr1:6161853-6240183
CHD6	chr20:40031170-40247133
CHD7	chr8:61591339-61779463
CHD8	chr14:21853358-21905404
CHD9	chr16:53088945-53361413
CHDH	chr3:53850388-53880419
CHEK1.2	chr11:125495036-125525639
CHEK1.3	chr11:125495036-125546148
CHEK1	chr11:125496312-125525639
CHEK2.2	chr22:29083731-29137822
CHEK2.3	chr22:29083731-29137822
CHEK2	chr22:29083731-29137822
CHERP	chr19:16628700-16653263
CHFR.2	chr12:133416938-133464204
CHFR.3	chr12:133416938-133464204
CHFR.4	chr12:133416938-133464204
CHFR.5	chr12:133416938-133464204
CHFR	chr12:133416938-133464204
CHGA	chr14:93389445-93401636
CHGB	chr20:5891974-5906003
CHI3L1	chr1:203148059-203155922
CHI3L2.2	chr1:111772333-111786060
CHI3L2.3	chr1:111770281-111786060
CHI3L2	chr1:111770281-111786060
CHIA.2	chr1:111833484-111863184
CHIA	chr1:111833538-111863184
CHIC1	chrX:72782984-72906935
CHIC2	chr4:54875958-54930788
CHID1.2	chr11:867860-910874
CHID1.3	chr11:867860-910874
CHID1.4	chr11:867860-910874
CHID1.5	chr11:867860-910874
CHID1	chr11:867860-915058
CHIT1	chr1:203185207-203198860
CHKA.2	chr11:67820328-67888858
CHKA	chr11:67820328-67888858
CHKB	chr22:51017387-51021428
CHKB-CPT1B	chr22:51007291-51021428
CHL1	chr3:238650-451095
CHM.2	chrX:85224101-85302566
CHM	chrX:85116186-85302566
CHML	chr1:241792169-241799232
CHMP1A.2	chr16:89710846-89724129
CHMP1A	chr16:89710846-89724129
CHMP1B	chr18:11851389-11854447
CHMP2A.2	chr19:59062934-59066486
CHMP2A	chr19:59062934-59066355
CHMP2B	chr3:87276413-87304697
CHMP4A	chr14:24678789-24683185
CHMP4B	chr20:32399110-32442173
CHMP4C	chr8:82644688-82671746
CHMP5	chr9:33264877-33281514
CHMP6	chr17:78965641-78973932
CHMP7	chr8:23101150-23119512
CHN1.2	chr2:175664042-175870170
CHN1	chr2:175664042-175870170
CHN2.2	chr7:29519486-29553943
CHN2	chr7:29234121-29553943
CHODL	chr21:19617150-19639685
CHORDC1.2	chr11:89933597-89956532
CHORDC1	chr11:89933597-89956532
CHP2	chr16:23765948-23770256
CHP	chr15:41523437-41574081
CHPF2	chr7:150929585-150935905
CHPF	chr2:220403670-220408487
CHPT1	chr12:102091417-102122845
CHRAC1.2	chr8:141521415-141527252
CHRAC1	chr8:141521401-141527252
CHRD	chr3:184097861-184107619
CHRDL1.2	chrX:109917085-110039286
CHRDL1.3	chrX:109917085-110039286
CHRDL1.4	chrX:109917085-110039286
CHRDL1	chrX:109917085-110039076
CHRDL2	chr11:74407475-74442186
CHRFAM7A.2	chr15:30653443-30685864
CHRFAM7A	chr15:30653443-30685864
CHRM1	chr11:62676152-62689012
CHRM2.2	chr7:136553832-136701771
CHRM2.3	chr7:136553832-136701771
CHRM2.4	chr7:136553399-136701771
CHRM2.5	chr7:136553984-136701771
CHRM2.6	chr7:136553993-136701771
CHRM2.7	chr7:136553399-136701771
CHRM2.8	chr7:136553869-136701771
CHRM2	chr7:136553832-136701771
CHRM3	chr1:239792373-240072715
CHRM4	chr11:46406640-46408107
CHRM5	chr15:34261089-34357287
CHRNA10	chr11:3686818-3692614
CHRNA1.2	chr2:175612323-175629200
CHRNA1	chr2:175612323-175629200
CHRNA2	chr8:27317279-27336813
CHRNA3.2	chr15:78887647-78913637
CHRNA3	chr15:78885397-78913637
CHRNA4	chr20:61974665-61992695
CHRNA5	chr15:78857906-78886458
CHRNA6	chr8:42607782-42623619
CHRNA7	chr15:32322726-32461233
CHRNA9	chr4:40337469-40356973
CHRNB1	chr17:7348406-7360931
CHRNB2	chr1:154540257-154552351
CHRNB3	chr8:42552562-42592209
CHRNB4	chr15:78916636-78933587
CHRND	chr2:233390922-233400204
CHRNE	chr17:4801064-4806369
CHRNG	chr2:233404437-233411038
CHST10	chr2:101008323-101034091
CHST11	chr12:104850778-105151883
CHST12	chr7:2443259-2474214
CHST13	chr3:126243176-126262133
CHST14	chr15:40763213-40765353
CHST15	chr10:125767186-125806241
CHST1	chr11:45670427-45687172
CHST2	chr3:142838668-142841810
CHST3	chr10:73724120-73773321
CHST4.2	chr16:71560154-71572491
CHST4	chr16:71560023-71572491
CHST5	chr16:75562430-75569068
CHST6	chr16:75507023-75528926
CHST7	chrX:46433192-46457837
CHST8.2	chr19:34112861-34264413
CHST8.3	chr19:34175434-34264413
CHST8	chr19:34112873-34264413
CHST9	chr18:24495597-24765289
CHSY1	chr15:101715929-101792137
CHSY3	chr5:129240523-129522326
CHTF18	chr16:838622-848072
CHTF8.2	chr16:69151913-69166057
CHTF8.3	chr16:69151913-69166484
CHTF8	chr16:69151913-69166484
CHUK	chr10:101948125-101989344
CHURC1	chr14:65381140-65401913
CIAO1	chr2:96931884-96939892
CIAPIN1	chr16:57462087-57481369
CIB1	chr15:90773478-90777279
CIB2	chr15:78396991-78423878
CIB3	chr19:16272180-16284286
CIB4	chr2:26804074-26864211
CIC	chr19:42788817-42799949
CIDEA.2	chr18:12254628-12277592
CIDEA	chr18:12254318-12277592
CIDEB	chr14:24774395-24780576
CIDEC	chr3:9908399-9920740
CIDECP	chr3:10059237-10067820
CIITA	chr16:10971055-11018839
CILP2	chr19:19649074-19657466
CILP	chr15:65488337-65503840
CINP	chr14:102814621-102829253
CIR1	chr2:175212880-175260443
CIRBP.2	chr19:1269267-1274809
CIRBP.3	chr19:1269267-1274809
CIRBP	chr19:1269267-1273169
CIRH1A	chr16:69166499-69202936
CISD1	chr10:60028895-60049018
CISD2	chr4:103790135-103809913
CISD3	chr17:36886510-36891858
CISH.2	chr3:50643886-50649262
CISH	chr3:50643886-50649262
CIT	chr12:120123598-120315092
CITED1.2	chrX:71521490-71526837
CITED1.3	chrX:71521490-71525764
CITED1.4	chrX:71521490-71527037
CITED1	chrX:71521490-71525764
CITED2.2	chr6:139693397-139695350
CITED2.3	chr6:139693397-139695499
